url,rank,page_size_kb,total_byte_weight,load_time_s,response_time_s,num_requests,speed_index,dom_size,num_domains
https://anistar.org/,50000,2326.48,2382312.0,14.022,1.503,108,6326.0,472,22
https://www.blukids.com/,100000,20704.26,21201167.0,25.352,1.763,317,15572.0,3283,11
https://www.alphabeto.com/,100000,1941.25,1987844.0,14.851,1.322,151,9649.0,1938,44
https://pangkalantoto.forum/,5000,1063.96,1089499.0,4.49,1.384,18,3772.0,391,5
https://mix.sumdu.edu.ua/,100000,2012.69,2060990.0,5.792,0.935,39,4415.0,88,6
https://www.rizzoembalagens.com.br/,100000,5959.88,6102912.0,36.294,2.577,208,17560.0,19319,23
https://www.emlakjet.com/,5000,1598.14,1636500.0,23.775,0.749,145,4725.0,914,48
https://www.bathandbodyworks.ca/,50000,436.74,447220.0,8.294,1.259,11,5592.0,19,7
https://365.mizkan.co.jp/,100000,6553.96,6711251.0,27.631,1.205,253,13948.0,767,56
https://zonaliados.mapfre.com.mx/,100000,17.28,17698.0,1.332,0.924,2,1800.0,3,1
https://ccsnubev2.com/,100000,1116.32,1143110.0,3.393,0.642,25,2203.0,106,4
https://kpop.fandom.com/,50000,4909.49,5027321.0,115.987,1.931,2326,29761.0,2973,380
https://getmobil.com/,50000,5505.84,5637980.0,28.367,0.416,268,10184.0,3493,33
https://payin-pwa.swichnow.com/,50000,1456.07,1491017.0,6.485,1.476,25,5307.0,53,3
https://varecha.pravda.sk/,10000,5168.34,5292379.0,54.931,1.647,555,7048.0,2140,168
https://gforgadget.gr/,100000,1360.99,1393655.0,25.44,2.903,211,13360.0,2437,12
https://gov.hr/,50000,3453.44,3536325.0,11.919,1.195,79,7535.0,630,10
https://www.pcwelt.de/,50000,5629.76,5764874.0,123.566,0.591,2829,3349.0,1809,376
https://k-way.fr/,100000,32732.85,33518442.0,18.359,0.599,158,8865.0,1865,22
https://nanastoto139.com/,100000,8946.83,9161550.0,13.982,0.981,209,6201.0,943,20
https://paris88-oaniltmu.net/,100000,1445.64,1480336.0,10.245,0.852,79,3688.0,1170,12
https://v4.bseducativo.com/,50000,5837.18,5977268.0,7.459,0.914,64,4917.0,332,8
https://profi.ru/,50000,2654.99,2718713.0,16.097,1.762,119,7159.0,938,22
https://mercury.vetrf.ru/,50000,143.38,146821.0,3.934,1.63,16,3877.0,149,1
https://seek.gg/,50000,0.02,18.0,0.866,0.671,2,0.0,2,1
https://casino.z1.bet365.com/,50000,3784.09,3874904.0,11.258,1.887,105,8553.0,867,7
https://pornstar-scenes.com/,50000,1238.28,1268001.0,13.718,0.446,136,5946.0,1669,110
https://www.luxauto.lu/,100000,1810.72,1854182.0,9.976,2.934,85,9355.0,2340,10
https://www.petitbleu.fr/,100000,1933.54,1979945.0,30.177,1.627,112,9022.0,1922,34
https://www.carandclassic.com/,50000,4738.93,4852661.0,17.345,1.543,245,10509.0,3432,11
https://www.yotsuyaotsuka.com/,100000,6949.8,7116597.0,31.549,1.492,482,10617.0,957,105
https://hdroom.xxx/,5000,646.56,662079.0,3.589,0.598,48,1974.0,3325,6
https://schools.org.in/,50000,4608.82,4719433.0,51.504,0.658,222,9850.0,920,48
https://eva.vn/,10000,4742.85,4856681.0,120.144,1.89,2435,9910.0,1686,333
https://uslugi.yandex.ru/,100000,2456.27,2515220.0,20.126,2.01,149,13022.0,413,9
https://ubse.org/,100000,723.16,740514.0,5.158,1.425,14,3890.0,143,7
https://manhwahentai.me/,100000,8050.33,8243534.0,9.22,0.401,98,3460.0,1119,19
https://secure246.lansforsakringar.se/,100000,1365.47,1398243.0,11.669,1.982,34,6354.0,336,5
https://app.jusfy.com.br/,100000,13971.33,14306646.0,33.781,0.848,201,24320.0,172,72
https://iambaker.net/,100000,2939.58,3010134.0,61.882,0.511,1302,2813.0,796,266
https://9-bit.jp/,100000,2307.24,2362616.0,18.148,1.666,121,8825.0,544,17
http://wvvw.yari.live/,50000,1030.95,1055695.0,4.637,1.676,43,3970.0,265,8
https://who.is/,100000,1276.41,1307045.0,11.031,0.896,81,2906.0,135,17
https://www.otokocikinciel.com/,100000,4402.5,4508159.0,24.573,1.57,109,10615.0,3020,29
https://dwmall.westjr.co.jp/,100000,15043.42,15404460.0,29.445,2.746,375,21576.0,1659,53
http://www.koreatimes.com/,100000,3769.3,3859764.0,12.311,0.592,136,3599.0,525,19
https://www.movilzona.es/,100000,987.15,1010837.0,13.065,3.975,42,5981.0,1637,13
https://pokemonbbs.com/,100000,477.75,489216.0,8.392,2.147,29,4650.0,1794,11
https://mcgrp.ru/,50000,1704.92,1745843.0,12.612,1.686,123,4001.0,3889,23
https://mountain.mycommonspirit.org/,100000,1370.26,1403145.0,4.632,0.911,45,5547.0,248,1
https://www.emergencyemail.org/,50000,1828.42,1872303.0,15.259,0.772,107,3169.0,622,28
https://sportklub.n1info.rs/,10000,10563.73,10817256.0,30.062,0.841,276,10866.0,7867,33
https://komiktap.info/,50000,8572.81,8778562.0,10.086,0.531,85,4546.0,1833,20
https://elvebredd.com/,5000,2724.92,2790320.0,33.791,0.801,595,3001.0,326,174
https://www.thingiverse.com/,5000,2849.11,2917492.0,18.085,0.65,218,13830.0,1553,61
https://irantahsil.org/,50000,605.74,620278.0,5.313,1.757,35,4286.0,964,1
https://www.fenbilim.net/,100000,3071.76,3145487.0,18.008,0.972,167,12801.0,734,27
https://bolavip.com/,10000,3181.88,3258245.0,72.129,0.404,1425,7560.0,2569,282
https://rezagem.com/,100000,4796.04,4911142.0,83.134,1.052,165,9978.0,4102,2
https://healthscheme.wb.gov.in/,100000,1797.53,1840672.0,12.118,2.695,35,6951.0,458,1
https://diners.com.pk/,50000,5610.67,5745330.0,90.105,1.46,177,50484.0,11108,15
https://euro-royals.livejournal.com/,100000,8908.24,9122040.0,38.988,2.971,343,19303.0,3505,104
https://www.hobbylinc.com/,100000,1476.73,1512172.0,7.671,1.35,37,3219.0,722,9
https://ts3.x1.international.travian.com/,10000,1809.63,1853061.0,11.179,1.151,40,8282.0,181,4
https://homeomart.com/,100000,7919.5,8109572.0,36.735,1.5,245,10887.0,3514,30
https://www.topocentras.lt/,100000,5785.66,5924517.0,25.041,1.448,231,16808.0,7154,33
https://www.doujinxhub.net/,50000,75799.84,77619037.0,9.67,0.697,79,4488.0,727,2
https://apply.teachforindia.org/,100000,19987.47,20467173.0,18.064,0.568,107,14585.0,275,25
https://maharera.maharashtra.gov.in/,100000,1317.09,1348705.0,10.972,2.289,71,5176.0,1662,5
https://chatbot.ewbconsumerlending.com/,50000,260.96,267219.0,9.81,1.359,15,9044.0,90,4
https://www.edelmetall-handel.de/,100000,1454.07,1488971.0,15.764,0.788,98,4236.0,889,17
https://dgpci.mai.gov.ro/,50000,8760.62,8970877.0,16.475,2.123,56,9335.0,971,6
https://www.zamalektoday.com/,10000,679.73,696044.0,3.074,0.51,32,2002.0,147,4
https://minhaloja.boticario.com.br/,50000,12973.54,13284905.0,30.669,0.943,145,15164.0,382,31
https://www.ecco-verde.it/,100000,807.55,826930.0,5.662,1.39,97,6205.0,860,2
https://roxynailsparis.com/,50000,3995.01,4090886.0,41.605,1.009,315,35278.0,6906,37
https://www.france-inverse.com/,100000,2820.47,2888161.0,10.798,2.25,142,9320.0,1896,15
https://accounts.lidl.com/,5000,3492.88,3576712.0,5.773,0.786,22,2200.0,21,1
https://emp.educmaster.bj/,100000,1984.16,2031776.0,10.928,1.925,28,4682.0,85,3
https://nxlogin.nexon.com/,10000,10038.3,10279220.0,20.009,2.069,49,15174.0,110,9
https://xxxporno.cam/,100000,7832.22,8020189.0,14.977,3.645,91,6894.0,1326,25
https://sacsbar.com/,100000,12064.82,12354377.0,44.656,1.435,331,35117.0,3585,58
https://secure.zortout.com/,50000,2336.86,2392943.0,25.664,0.969,98,3715.0,196,41
https://www.o2online.de/,50000,1445.68,1480377.0,21.083,1.624,110,13719.0,2819,11
https://fr.motorsport.com/,50000,5353.3,5481777.0,120.623,0.876,1759,7050.0,3272,305
https://www.brunofritsch.cl/,100000,2564.82,2626378.0,17.654,1.17,225,3752.0,1379,27
https://www.orellfuessli.ch/,50000,2584.74,2646778.0,10.649,1.044,196,8295.0,2847,10
https://login.sec.unicah.net/,50000,739.54,757294.0,3.903,1.185,17,4204.0,51,3
https://www.tv24.lt/,100000,2520.11,2580596.0,23.161,2.033,183,9872.0,2959,35
https://www.carwow.es/,50000,2390.25,2447621.0,22.673,1.72,115,5248.0,2408,23
https://www.exchange-rates.org/,50000,2089.23,2139374.0,26.916,0.531,448,3810.0,1157,143
https://www.tidningenangermanland.se/,50000,1848.91,1893287.0,8.264,0.921,52,2843.0,2168,17
https://beyondyoga.com/,100000,12023.41,12311972.0,65.805,0.8,556,32654.0,4372,80
https://koyal.pk/,100000,1989.43,2037177.0,17.508,1.052,136,12506.0,971,13
https://indovidplus.org/,10000,3121.82,3196741.0,3.502,0.53,44,2514.0,536,9
https://vininspect.com/,100000,2051.9,2101148.0,9.931,0.568,88,2653.0,885,13
https://aide-scrabble.fr/,100000,1641.7,1681100.0,17.211,0.522,186,2202.0,615,58
https://lololoshkashop.net/,100000,2044.23,2093290.0,8.502,1.543,69,4728.0,408,3
https://loisir-creatif-fr.buttinette.com/,100000,1105.25,1131775.0,7.138,1.798,29,6175.0,3845,3
https://banking.commercebank.com/,100000,1887.25,1932543.0,17.657,1.321,43,14145.0,220,3
https://www.escorta.com/,100000,993.85,1017705.0,7.607,0.74,86,4188.0,1512,5
https://www.nuuvem.com/,10000,2583.88,2645893.0,16.229,2.856,166,8342.0,1126,32
https://www.luckabc.xyz/,50000,653.86,669548.0,6.116,0.805,27,5544.0,139,12
https://razzsumanphotography.com/,10000,400.85,410466.0,4.12,0.71,20,2270.0,449,7
https://foodsharing.de/,50000,15732.92,16110515.0,58.229,0.906,322,7579.0,525,2
https://episodebd.com/,100000,1585.22,1623263.0,5.09,0.786,28,2768.0,225,10
https://www.tuya.com.co/,100000,8178.94,8375235.0,16.796,1.886,187,6452.0,805,18
https://www.projectxparis.com/,100000,9477.23,9704685.0,19.41,1.023,176,11839.0,7027,17
https://app.splashsports.com/,100000,15170.91,15535016.0,29.072,0.809,277,9761.0,1873,26
https://www.skoda-auto.co.in/,50000,5503.1,5635171.0,26.1,1.767,132,15164.0,1254,32
https://www.ashemale.com/,100000,4722.31,4835642.0,13.896,1.064,155,4742.0,811,27
https://chienokinomi.blog.fc2.com/,100000,5.88,6021.0,2.271,1.112,3,2412.0,38,2
https://webuntis.com/,50000,152.46,156121.0,5.939,1.632,9,4821.0,43,1
https://turnosvirtualesbbva.cxmflow.com/,100000,0.54,552.0,1.256,0.87,2,1600.0,2,1
https://pages.lazada.vn/,100000,1365.13,1397892.0,11.073,2.372,124,6478.0,783,14
https://fry99.me/,100000,958.21,981212.0,4.157,0.871,49,2710.0,760,7
https://fastshare.cz/,100000,2382.53,2439707.0,4.181,0.857,21,2560.0,114,5
https://humboldt.craigslist.org/,100000,704.59,721496.0,13.969,1.055,8,14400.0,1873,2
https://yugiohonlinebr.com.br/,100000,1861.46,1906136.0,9.638,1.394,64,4620.0,923,11
https://www.insmind.com/,100000,4822.32,4938053.0,24.694,1.047,568,7636.0,2334,22
https://www.opsc.gov.in/,100000,4205.44,4306373.0,10.909,3.177,61,8785.0,612,4
https://sei.al.gov.br/,50000,273.55,280113.0,7.518,2.642,47,7524.0,183,1
https://auth.tesla.com/,50000,409.56,419387.0,7.563,1.646,22,5308.0,393,2
https://www.jilikoph.online/,100000,7622.03,7804956.0,41.815,1.793,238,17385.0,1205,29
https://www.miele.it/,100000,2696.69,2761414.0,12.867,1.044,89,7099.0,2344,6
https://www.ticketportal.sk/,100000,14968.26,15327497.0,119.176,1.973,288,78923.0,4629,22
https://app.arbell.com.ar/,50000,450.27,461075.0,4.406,1.215,45,3783.0,101,4
https://www.cinemafrontier.net/,100000,1062.15,1087642.0,5.061,1.504,46,4407.0,182,3
https://gsmall.jp/,100000,74084.56,75862585.0,84.79,1.453,550,47836.0,6112,57
https://m.dafiti.com.co/,50000,2309.22,2364641.0,46.641,1.265,218,3901.0,680,34
https://xn--999-1klea5pj6kxa9s.com/,100000,17231.52,17645081.0,29.703,0.793,119,12369.0,1426,13
https://binomo.com/,50000,1525.34,1561946.0,13.774,0.753,174,6799.0,713,34
https://myonelabz.com/,100000,901.88,923522.0,5.364,1.53,33,4559.0,231,4
https://bokepindo13.win/,5000,234.97,240606.0,1.955,0.43,13,1815.0,436,2
https://asian4dlotus.com/,50000,5009.55,5129780.0,9.041,0.533,149,4778.0,1608,18
https://prtimes.jp/,5000,4655.29,4767019.0,17.195,0.943,224,3299.0,2239,25
https://www.vut.cz/,100000,2023.14,2071699.0,9.351,1.53,51,6119.0,1353,6
https://www.marcjacobs.com/,50000,7349.17,7525545.0,25.179,0.995,217,12829.0,2516,66
https://pornsok.com/,50000,248.96,254930.0,4.117,0.56,21,2836.0,1922,4
https://tvrepublika.pl/,50000,32974.95,33766347.0,107.86,0.539,1670,45336.0,4331,296
https://w.pornozak.biz/,10000,506.41,518563.0,5.48,1.27,29,2731.0,741,4
https://www.graindemalice.fr/,50000,27941.09,28611678.0,27.009,1.282,164,18231.0,1328,44
https://fr.youporn.com/,5000,500.81,512829.0,4.312,1.203,18,2439.0,77,5
https://m.fotbolti.net/,50000,9673.99,9906164.0,21.976,0.901,122,10466.0,4018,20
https://www.perfumeriaspigmento.com.ar/,100000,7191.98,7364591.0,23.152,0.851,147,15116.0,811,35
http://www.stats888.com/,50000,50.81,52027.0,3.794,2.308,7,4200.0,46,3
https://tsample.tsite.jp/,100000,9301.93,9525172.0,72.138,1.399,1411,23144.0,873,288
https://topcor.ru/,50000,1555.27,1592592.0,32.433,1.117,310,4261.0,1675,97
https://www.legalzoom.com/,100000,1595.47,1633762.0,12.292,0.858,139,3998.0,1497,31
https://0.torrentoyunindir.com/,50000,3976.53,4071967.0,4.831,0.845,56,3138.0,423,6
https://www.pixilart.com/,50000,4730.92,4844467.0,37.393,0.622,789,10184.0,1550,210
https://www.nissan.de/,100000,6039.61,6184562.0,21.072,1.686,88,11845.0,2005,16
https://farmaciaguacci.it/,100000,4744.25,4858112.0,22.862,2.106,149,8358.0,4628,24
https://www.soundslice.com/,100000,5965.19,6108358.0,8.156,0.97,33,3648.0,397,3
https://login.sura.com/,50000,49.54,50728.0,3.091,1.414,4,2600.0,8,1
https://www.xlove.com/,100000,1329.08,1360974.0,9.781,1.561,64,4000.0,2742,9
https://cdn.blockaway.net/,50000,2122.48,2173424.0,13.041,0.976,86,4991.0,362,20
https://ytmindia.in/,50000,3714.57,3803716.0,8.579,2.719,109,7089.0,1022,3
https://site.fastshop.com.br/,50000,10634.73,10889968.0,40.12,0.611,373,16720.0,4605,56
https://tardigrade.in/,50000,735.61,753261.0,5.842,1.412,37,3791.0,790,4
https://aviaonline.fun/,50000,92.59,94811.0,2.225,1.023,5,2332.0,28,1
https://sattamatkaa.co.com/,50000,862.9,883608.0,7.103,0.521,25,3106.0,788,10
https://www.tpointtech.com/,100000,1135.81,1163065.0,7.595,0.935,237,5268.0,1881,13
https://www.casamineira.com.br/,100000,1896.26,1941769.0,16.051,0.501,113,2668.0,946,27
