Feature,H_statistic,p_value,Significant_0.05,Significant_0.01
Category,239.50676226166846,4.731462717363778e-48,True,True
Page Size (KB),39.34411617184215,1.6801497535456777e-06,True,True
tti,28.673774542812314,0.00016590371163825653,True,True
Load Time(s),28.387439023553547,0.0001870326031027334,True,True
cls,26.14418481469565,0.00047464472103337757,True,True
Size_LoadTime_Ratio,22.985742317904677,0.001714380694498724,True,True
CWV_Composite,18.65807789804358,0.009328675183926171,True,True
num_requests,18.560794968345736,0.009680415690840317,True,True
Throughput,14.972455110710042,0.03635411526811064,True,False
TBT_TTI_Ratio,13.852130138012557,0.05387473851640457,False,False
tbt,13.40352537887836,0.0628659838650158,False,False
Throughput_ResponseTime_Ratio,13.10944105218275,0.06948635341914484,False,False
total_byte_weight,12.519844638662555,0.08470809288151337,False,False
performance_score,12.356894277708463,0.08941635190940546,False,False
lcp,12.018849364191688,0.09994069837237908,False,False
speed_index,11.084254414644493,0.1349858747808762,False,False
Total_Time,6.9118741976040035,0.43811288174832763,False,False
Bytes_Per_Request,6.393636222596656,0.49460979208012423,False,False
fcp,5.4158238462525965,0.6093555612625443,False,False
Response Time(s),4.953890646152244,0.6655902850689612,False,False
Log_Throughput,0.0,1.0,False,False
Log_Page_Size,0.0,1.0,False,False
