Feature,Correlation_with_Perf
Category,0.0005049676396209185
Page Size (KB),-0.036787276311105066
Load Time(s),0.36722903401109264
Response Time(s),0.46072843451772044
Throughput,0.1826939624990497
performance_score,-0.7302028462319206
lcp,0.6078406991551181
fcp,0.6193803674182172
cls,0.15382576614028717
tti,0.6029736960810566
tbt,0.4858287247518376
speed_index,0.5556654697831334
total_byte_weight,0.5331036584449523
num_requests,0.4585052021249009
Size_LoadTime_Ratio,-0.09566507835665528
Total_Time,0.48978180001648386
Throughput_ResponseTime_Ratio,-0.13574121131556424
Log_Page_Size,0.08615699812663655
Log_Throughput,0.13377781876420602
CWV_Composite,0.7087333418974588
TBT_TTI_Ratio,0.3739269805717171
Bytes_Per_Request,0.1542757197397809
