Feature,Frequency,Pct_Counterfactuals,Mean_Change,Std_Change
lcp,92,92.0,-0.8909866829919231,0.7812288374330061
fcp,89,89.0,-0.9207404001929628,0.6467066009230127
CWV_Composite,89,89.0,-0.5517078873595337,0.42851202465682303
performance_score,87,87.0,0.569825742890287,0.40055445643334986
speed_index,78,78.0,-0.6130167984043622,0.46181157452506866
tti,76,76.0,-0.4718549181990549,0.39549769718467237
Response Time(s),75,75.0,-0.8892434065960949,0.709953821917627
Total_Time,75,75.0,-0.5472749541339994,0.4522905047517403
total_byte_weight,72,72.0,-0.6558681647974977,0.5693715660058285
Load Time(s),65,65.0,-0.4780123591061908,0.4656303657614754
Bytes_Per_Request,65,65.0,-0.879619941453008,1.7926997971365681
tbt,63,63.0,-0.5420681129469542,0.5048722108281469
TBT_TTI_Ratio,62,62.0,-0.47461884025208206,0.3772768987458299
Page Size (KB),52,52.0,-0.4013033936619564,0.3589584820554663
Log_Page_Size,52,52.0,-0.42678419700944914,0.2615538034592732
Throughput_ResponseTime_Ratio,50,50.0,0.44036817669722444,0.5736625575532635
Size_LoadTime_Ratio,38,38.0,0.42001710933082387,0.4165071546569187
Log_Throughput,38,38.0,0.4717264150387342,0.3446640085958617
cls,35,35.0,-0.7597623833772146,0.6550809195146394
Throughput,35,35.0,0.2033806767933697,0.30068665509186776
num_requests,29,28.999999999999996,0.4587293155582284,0.37641393276872076
Category,0,0.0,0.0,0.0
